title,vintage,winery,style,variety,denominacion,price,designation,aging_1,region,description,points
Bodegas Olarra 2014 Laztana Reserva  (Rioja),2014,Bodegas Olarra,Red wine,Tempranillo,Rioja,29.0,Laztana Reserva,Reserva,Rioja,"Earthy, savory aromas include notes of cured meat, dried leaves and red berries. A solid palate is grabby but in shape. Leafy, earthy flavors of roasted plum and berry fruits end with peppery spice notes and a lasting sense of dryness. Drink this by-the-book reserva through 2024. ",91
Bodega Classica 2009 Hacienda Lopez de Haro Gran Reserva  (Rioja),2009,Bodega Classica,Red wine,Tempranillo Blend,Rioja,29.0,Hacienda Lopez de Haro Gran Reserva,Gran Reserva,Rioja,"Earthy plum and cherry aromas are typical of Rioja gran reserva. A full, grabby palate is not silky-smooth, while this wine tastes of fig and chocolaty berry fruits that are on the cusp of cooked. It loses steam on a finish with raisiny notes. Drink through 2022. ",91
Emilio Moro 2011 Clon de la Familia  (Ribera del Duero),2011,Emilio Moro,Red wine,Tempranillo,Ribera del Duero,450.0,Clon de la Familia,No Aplica,Ribera del Duero,"A concentrated, demanding nose of bacon and black fruits announces a saturated Tinto Fino that's linear in feel but missing layers of complexity and depth. Rich massive flavors of baked black fruits and chocolate finish with coffee, chocolate and blackened spice flavors. This is highly reflective of the hot and dry 2011 vintage; drink through 2024. ",91
Ferrer Bobet 2013 Selecció Especial Vinyes Villes Carignan (Priorat),2013,Ferrer Bobet,Red wine,Carignan,Priorat,112.0,Selecció Especial Vinyes Villes,No Aplica,Priorat,"Bright plum and berry aromas are topped with a spicy sauvage note. A tightly wound palate is blaring with acidity, making for an austere mouthfeel. Acid-driven flavors of tomato, red plum, currant and dry herbs finish sharp, with salty notes and acidic boost. Drink through 2030. ",91
Baron De Ley 2015 Reserva  (Rioja),2015,Baron De Ley,Red wine,Tempranillo,Rioja,20.0,Reserva,Reserva,Rioja,"Earthy, spicy plum and red berry aromas are solid and in harmony. This reserva shows depth and balance along with ripe berry, cassis, chocolate and brown sugar flavors. On the finish, this is more subtle and smooth than loud. Drink through 2023. ",91
Vega Clara 2016 Diez Almendros Degusta Secreto  (Ribera del Duero),2016,Vega Clara,Red wine,Tempranillo Blend,Ribera del Duero,22.0,Diez Almendros Degusta Secreto,No Aplica,Ribera del Duero,"Broadly ripe blackberry aromas are embedded with smoky oak and dried-fruit notes of raisin and prune. A pulpy and hefty palate is more jammy than tightly focused, while this tastes of blackberry, dark plum and raisin prior to a finish with coffee and cocoa notes. Drink through 2024. ",91
Alta Alella 2015 Laietà Gran Reserva Brut Nature Sparkling (Cava),2015,Alta Alella,Sparkling,Sparkling Blend,Cava,23.0,Laietà Gran Reserva Brut Nature,Gran Reserva,Cava,"Apple, stony minerals and mild brine are notable components of a nice nose for brut nature. A medium-bodied palate has grip and size to it, while this tastes of orange and melon. White-pepper notes and a hint of spent yeast give the finish a boost—excellent for the Cava brut nature class. ",91
Balbas 2009 Alitus Reserva  (Ribera del Duero),2009,Balbas,Red wine,Red Blends,Ribera del Duero,120.0,Alitus Reserva,Reserva,Ribera del Duero,"A ripe nose is slathered in resiny oak smells, mostly of raisin and aged balsamic vinegar. A huge palate, with pounding tannins, is anything but smooth, while this monster red from a hot vintage tastes of mocha, tobacco, cassis and blackberry. Coffee and smoky notes dominate a long finish; drink through 2027. ",91
Bodegas Fuentespina 2014 Selección Old Vines Crianza  (Ribera del Duero),2014,Bodegas Fuentespina,Red wine,Tempranillo,Ribera del Duero,27.0,Selección Old Vines Crianza,Crianza,Ribera del Duero,"Initially this wine is charred and smoky-smelling, with accents of graphite and cola. A tight, juicy palate is bolstered by bold core acidity, while ripe blackberry and currant flavors capture both the black and red sides of the flavor spectrum. A dry, tannic finish with peppery flavors is intense. Drink through 2026. ",91
Remelluri 2010 Reserva  (Rioja),2010,Remelluri,Red wine,Red Blends,Rioja,45.0,Reserva,Reserva,Rioja,"A compact bouquet with dense aromas of leafy berry fruits and compost is not entirely fresh and pure. On the palate, this is packed with pulpy fruit, but there's isn't much nuance. Short, stocky berry, plum and spice flavors finish fleshy but a touch leafy and abrasive. Drink through 2028. ",91
Muga 2014 Torre Muga  (Rioja),2014,Muga,Red wine,Tempranillo Blend,Rioja,115.0,Torre Muga,No Aplica,Rioja,"Savory berry aromas include a lot of oak and graphite along with exotic hints. Hailing from a vintage marked by a rainy harvest, this isn't bright or fruity at any check point. Blackberry, cassis and licorice flavors are short on a blocky finish tasting of mint, cardamom and oak. Drink through 2024. ",91
Portal del Priorat 2015 Tros de Clos Carignan (Priorat),2015,Portal del Priorat,Red wine,Carignan,Priorat,99.0,Tros de Clos,No Aplica,Priorat,"Earthy blackberry aromas include a gaseous note as well as hints of black olive and spice cake. While big as an ox, this varietal Carignan is also bumpy and incongruous on the palate. Sappy black-plum and berry flavors include vanilla and lemony oak notes in front of a drawing finish with savory tobacco accents. Drink this warm-vintage Priorat red through 2022. ",91
El Centimo 2010 Real Crianza  (Rioja),2010,El Centimo,Red wine,Red Blends,Rioja,29.0,Real Crianza,Crianza,Rioja,"Fresh plum, tomato and spice aromas are integrated. On the palate, this wine is ripe and saturated but not heavy. Generous flavors of caramel, vanilla, plum and berry fruits are smooth and chocolaty across the finish. Drink now through 2020. ",91
Sonsierra 2010 Gran Reserva  (Rioja),2010,Sonsierra,Red wine,Tempranillo,Rioja,29.0,Gran Reserva,Gran Reserva,Rioja,"Earthy aromas of olive, tobacco, prune and oak set up a palate with drawing tannins. This tastes of coffee, mocha and earthy mixed berries. The finish is meaty in texture, with compatible oak spice and berry-fruit notes. ",91
Cellers Unió 2012 Roureda Llicorella Anyada Clássic Red (Priorat),2012,Cellers Unió,Red wine,Red Blends,Priorat,25.0,Roureda Llicorella Anyada Clássic,No Aplica,Priorat,"Schisty aromas of licorice and blackberry are touched up by a shot of cedary oak. This feels juicy and not that heavy or compact on the palate. Reedy, spicy plum and blackberry flavors come with lemony oak notes. This is toasty and spicy on the finish, with a spot of licorice. Drink through 2022. ",91
Cepa 21 2014  Ribera del Duero,2014,Cepa 21,Red wine,Tempranillo,Ribera del Duero,25.0,,No Aplica,Ribera del Duero,"Black-fruit aromas are made more complex by notes of leather and oak. This is full, blocky and tannic on the palate, with dark-fruit flavors of black plum and blackberry touched up by oak. A woody but long finish suggests that this will find its prime in a couple of years; drink through 2024. ",91
Maurodos 2015 Prima  (Toro),2015,Maurodos,Red wine,Tempranillo Blend,Toro,24.0,Prima,No Aplica,Toro,"Ripe black-fruit aromas blend with notes of sandalwood, turned earth and graham cracker to form a complex and inviting nose. A dry tight tannic palate is proper and drumming, while this Toro tastes of blackberry and wood spice prior to a focused but dry and tannic finish. Drink through 2024. ",91
Celler Pasanau 2014 Los Torrents Red (Priorat),2014,Celler Pasanau,Red wine,Red Blends,Priorat,41.0,Los Torrents,No Aplica,Priorat,"Ripe, inviting aromas of black cherry and cassis rank as precise. In the mouth, this is racy to the point of being wiry, with abundant intensity. Live-wire plum and berry flavors are the definition of high energy, while spice and complexities are trying to settle on a still-young finish. Drink from 2020–2030. ",91
Hidalgo 2016 Generación Ocho  (Ribera del Duero),2016,Hidalgo,Red wine,Tempranillo,Ribera del Duero,39.0,Generación Ocho,No Aplica,Ribera del Duero,"The first Hidalgo wine from Ribera del Duero that we've come across is concentrated, tannic, grinding and packed with fruit. Aromas of blackberry, maple and cassis are heady, while the palate on this young Tinto Fino is raw and rough. Blackberry, chocolate and woody flavors settle with gusto and some sophistication; best from 2022–2035. ",91
Emilio Moro 2015 Malleolus  (Ribera del Duero),2015,Emilio Moro,Red wine,Tempranillo,Ribera del Duero,45.0,Malleolus,No Aplica,Ribera del Duero,"Ripe smoky aromas are oaky and full, with rooty sweetness and some heat. High acidity creates core intensity, and overall this feels more punchy and acidic than in prior years. Woody spicy peppery flavors of plum and currant finish fresh and ripped, with residual oak, spice, herb and plum flavors. Drink through 2028. ",91
Valdelacierva 2014 Reserva Edición Limitada  (Rioja),2014,Valdelacierva,Red wine,Tempranillo,Rioja,55.0,Reserva Edición Limitada,Reserva,Rioja,"An intense mix of graphite, asphalt, tobacco and blackberry aromas is ripe but positive, while this feels more gritty and narrow than elegant. Baked black-fruit flavors are bolstered by chocolate and coconut notes, while this is peppery but also pruney on a bold finish. Drink through 2023. ",91
Bodegas Tobía 2015 Óscar Tobía Reserva  (Rioja),2015,Bodegas Tobía,Red wine,Tempranillo Blend,Rioja,32.0,Óscar Tobía Reserva,Reserva,Rioja,"A dark, smoky, charred nose is chocolaty and dense, with black-fruit notes but also a hint of chimney. A tight palate is pulling and tannic, while blackberry flavors come with notes of black coffee, chocolate and burnt toast. A narrow tannic finish suggests that this Reserva should improve over time; drink through 2030. ",91
Adegas Gran Vinum 2017 Esencia Diviña Albariño (Rías Baixas),2017,Adegas Gran Vinum,White wine,Albariño,Rías Baixas,24.0,Esencia Diviña,No Aplica,Rías Baixas,"Orange and blanched almond aromas are light and lucid on the nose. This is citrusy and ripe on the palate but not heavy. Citrus and melon flavors are a touch leesy, while this is steady and well-balanced fresh, rounded finish. ",91
Familia Chávarri 2009 Izarbe Reserva Vendimia Seleccionada  (Rioja),2009,Familia Chávarri,Red wine,Tempranillo,Rioja,35.0,Izarbe Reserva Vendimia Seleccionada,Reserva,Rioja,"Blocky prune and blackberry aromas are not exactly lively, while this feels dense and concentrated, a reflection of the hot year that was 2009. Buttery black-fruit and cocoa flavors are rich in tandem, while this is lush, creamy and ripe all the way through the finish. ",91
Quinta da Muradella 2012 Gorvia Doña Blanca (Monterrei),2012,Quinta da Muradella,White wine,Doña Blanca,Monterrei,73.0,Gorvia,No Aplica,Monterrei,"This is a mature, oxidized style of wine made from the local Doña Blanca grape; look for a mix of Galician minerality, Jura-like flavors and Sherry complexity. Aromas of resiny oak, roast corn and hay are dry, leading to a grabby palate, with a grape-skin texture. Woody, buttery dried apple flavors finish full and long, with popcorn notes and the essence of controlled oxidation. By no means is this for everyone, but it's well made and has its virtues. Drink now through 2023. ",91
San Román Bodegas y Viñedos 2016 Prima  (Toro),2016,San Román Bodegas y Viñedos,Red wine,Tinta de Toro,Toro,25.0,Prima,No Aplica,Toro,"Bold black-fruit aromas include a very ripe note of prune. Typical of wines from San Román in Toro, this is a tannic number but within reason. Savory oak pushes a bacony flavor onto blackberry fruit, while this is meaty and spicy on the finish, sort of like beef jerky. Drink this strong boy through 2026. ",91
Ankal 2013 Crianza  (Ribera del Duero),2013,Ankal,Red wine,Tempranillo,Ribera del Duero,28.0,Crianza,Crianza,Ribera del Duero,"Oaky aromas of maple, blackberry and chimney grit set up a raw tannic palate. This tastes toasty and oaky, but with enough black-fruit flavor to support all that wood. Mild herb and spice flavors mix with tea and berry notes on the finish of this off-vintage Tempranillo. Drink through 2022. ",91
Lealtanza 2012 Reserva Selección de Familia  (Rioja),2012,Lealtanza,Red wine,Tempranillo Blend,Rioja,36.0,Reserva Selección de Familia,Reserva,Rioja,"Warm malty aromas of maple and ripe berry fruits turn woody with airing. Reflective of a hot but very good vintage, this settles quickly on the palate and is never overly lively. Spiced plum, berry fruit and chocolate flavors finish with mild oak spice on an easy finish. Drink through 2023. ",91
Mas d'en Gil 2010 Coma Vella Red (Priorat),2010,Mas d'en Gil,Red wine,Red Blends,Priorat,40.0,Coma Vella,No Aplica,Priorat,"Gritty, spicy, schisty berry aromas are composed, while this Garnacha-led blend feels saturated and layered. Spicy plum, herbal notes and black pepper make up the flavor profile, while this is strapping, peppery tasting and complex on the finish. Drink through 2022. ",91
Portal del Montsant 2011 Brunus Red (Montsant),2011,Portal del Montsant,Red wine,Red Blends,Montsant,45.0,Brunus,No Aplica,Montsant,"Aromas of wild herbs, dry brush, rubber, oak and berry fruits come prior to a pointed palate with high acidity and choppy tannins. Flavors of creamy oak support racier currant and red-plum notes, while this Carignan-Garnacha-Syrah blend tastes oaky, spicy and thorough on the finish. Drink through 2021. ",91
Enate 2011 Merlot (Somontano),2011,Enate,Red wine,Merlot,Somontano,40.0,,No Aplica,Somontano,"Cedary plum and berry aromas are savory and ripe, but not overt. This feels layered and almost lush, with grabby tannins. Flavors of blackberry, baking spices, cocoa and mocha finish chewy, chocolaty and long. This is a serious Merlot to drink through 2019. ",91
Elias Mora 2014 Crianza  (Toro),2014,Elias Mora,Red wine,Tinta de Toro,Toro,40.0,Crianza,Crianza,Toro,"Deep black-fruit aromas are a touch murky and raisiny, with accents of mocha and chocolate. The palate on this Crianza is raw and shocked by tartaric acidity, so this isn't a smooth and easy ride. Blackberry and prune flavors finish hard and lemony, with unabsorbed oak and tannins. Drink through 2025. ",91
Viñedos de Paganos 2012 El Puntido  (Rioja),2012,Viñedos de Paganos,Red wine,Tempranillo,Rioja,61.0,El Puntido,No Aplica,Rioja,"Richly oaked aromas of burnt wood, caramel and sawmill compete with jammy blackberry and cassis notes. A rugged, drawing palate is fiercely tannic and dry. Blackberry, burnt oak and coffee flavors dry out quickly on the finish, leaving simmering toasty mint. Drink through 2025. ",91
Finca Río Negro 2014 Cogolludo Guadalajara Red (Vino de la Tierra de Castilla),2014,Finca Río Negro,Red wine,Red Blends,Castilla,25.0,Cogolludo Guadalajara,No Aplica,Vino de la Tierra de Castilla,"Racy red berry aromas bring a welcome herbal note along with kick. Packed with fruit on the palate, this blend of Tempranillo, Syrah, Merlot and Cabernet Sauvignon tastes toasty and full, with blackberry and fudge flavors. Things stay dark and toasty on the finish. Drink through 2026. ",91
Tionio 2014 Reserva  (Ribera del Duero),2014,Tionio,White wine,Tinto Fino,Ribera del Duero,35.0,Reserva,Reserva,Ribera del Duero,"Aromas of ripe berries and smoke meld with a hint of Band-Aid on the nose. The palate of this reserva is narrow, condensed and fairly hard. Typical regional flavors of mixed black fruits are at full ripeness, while this is muscular and concentrated on a finish that hints at syrup. Drink through 2027. ",91
Suertes del Marqués 2015 7 Fuentes Red (Valle de la Orotava),2015,Suertes del Marqués,Red wine,Red Blends,Valle de La Orotava,21.0,7 Fuentes,No Aplica,Valle de la Orotava,"This blend of Tintilla and Listán Negro opens with savory aromas of latex, plum and cherry dusted with minerals. The palate is full but racy. Flavors of plum and cranberry show spice and mineral notes before a long, peppery finish. Overall, this is bright, floral and interesting. Drink now. ",91
Paixar 2015 Mencía (Bierzo),2015,Paixar,Red wine,Mencía,Bierzo,80.0,,No Aplica,Bierzo,"Grapy aromas of cassis and blackberry are fairly foxy, with a whiff of wet animal fur. An intense palate is held together by firm, rubbery tannins. Black cherry and dark-plum flavors are lasting on a finish that's ripped with intensity. Best from 2019–2024. ",91
Valserrano 2011 Gran Reserva  (Rioja),2011,Valserrano,Red wine,Tempranillo Blend,Rioja,33.0,Gran Reserva,Gran Reserva,Rioja,"Coarse aromas of tree bark and tobacco are smoothed out by vanilla and dried cherry and plum notes. This is structured and firm on the palate, with fairly hard edges. Chocolaty oak flavors lead secondary spiced berry and tobacco notes, while this tastes oaky in a familiar Rioja way on the finish. Drink through 2028. ",91
Vega Sicilia 2013 Valbuena 5°  (Ribera del Duero),2013,Vega Sicilia,Red wine,Tempranillo Blend,Ribera del Duero,215.0,Valbuena 5°,No Aplica,Ribera del Duero,"Exotic aromas of blueberry along with Middle Eastern spice notes set this apart from the Ribera del Duero pack. A wide, pulpy palate is smacking, while short, oaky flavors of stewed plum and beef bouillon are meaty and again, different than most wines from the area. Finally, a finish with oxidized notes suggests that you drink this sooner rather than later. ",91
Gramona 2005 Celler Batlle Gran Reserva Brut Sparkling (Cava),2005,Gramona,Sparkling,Sparkling Blend,Cava,105.0,Celler Batlle Gran Reserva Brut,Gran Reserva,Cava,"Chiseled aromas of mineral, oyster shell, tangerine peel and lemon-lime are a fine lead into a mouthfilling palate with modest textural complexity. Yeasty flavors of white stone fruits are mature and nutty, while this top-end Cava is smooth on the finish. Drink through 2022. ",91
Llopart 2011 Leopardi Gran Reserva Brut Nature Sparkling (Cava),2011,Llopart,Sparkling,Sparkling Blend,Cava,40.0,Leopardi Gran Reserva Brut Nature,Gran Reserva,Cava,"Yeasty sourdough aromas are fresh and mature at the same time. A full palate with integrated acidity offers fine balance, while this brut nature mixes a white peach flavor with a mild astringent note prior to a finish that's dry, steady and airy. Drink through 2021. ",91
Marqués del Puerto 2014 Bentus  (Rioja),2014,Marqués del Puerto,Red wine,Tempranillo Blend,Rioja,58.0,Bentus,No Aplica,Rioja,"This wine's ripe berry aromas are accompanied by creamy oak, pepper and licorice notes. It feels choppy yet built to last, with spicy, lightly herbal berry and plum flavors and an abrasive but fresh finish, suggesting it will not suffer from further aging. Drink through 2024. ",91
Alto Moncayo 2015 Veraton Garnacha (Campo de Borja),2015,Alto Moncayo,Red wine,Garnacha,Campo de Borja,32.0,Veraton,No Aplica,Campo de Borja,"Aromas of olive and earthy berry fruits battle for air against heavy oak that smells chocolaty. A thick, blocky palate is tannic and intense, while flavors of brawny black plum and wild berries are backed by oaky chocolate and peppercorn notes. A blackened finish has a grape skins feel and is seared by spice. Drink through 2030. ",91
Portal del Priorat 2016 Clos del Portal Negre de Negres Red (Priorat),2016,Portal del Priorat,Red wine,Rhône-style Red Blend,Priorat,29.0,Clos del Portal Negre de Negres,No Aplica,Priorat,"Cool black fruit aromas include notes of violet and cola on a well-integrated nose. A firm palate is stacked in layers, while this blend of Garnacha, Carignan and Syrah tastes of bold black plum and wild blackberry. A mildly toasty finish is kissed with chocolaty oak, making for a classy finale. Drink through 2024. ",91
Val do Sosego 2016 Albariño (Rías Baixas),2016,Val do Sosego,White wine,Albariño,Rías Baixas,15.0,,No Aplica,Rías Baixas,"Tight citrus peel and peach aromas show a leesy side on the nose. This excellent rendition of Albariño feels round and juicy, but not sharp. Pleasing peach and melon flavors dry out and suggest white pepper on the finish. ",91
Valenciso 2010 Reserva  (Rioja),2010,Valenciso,Red wine,Tempranillo,Rioja,34.0,Reserva,Reserva,Rioja,"Notes of earthy, clove and all spice carry the nose. This is full, juicy and popping on the palate. Flavors of raspberry, mixed spices and exotic tea finish with red-berry leftovers and even more spice notes. Drink through 2028. ",91
Montebaco 2014 Alma de Vino Old Vine Crianza  (Ribera del Duero),2014,Montebaco,Red wine,Tempranillo,Ribera del Duero,36.0,Alma de Vino Old Vine Crianza,Crianza,Ribera del Duero,"Nicely spiced dark-fruit aromas of plum and blackberry are steady and stout. On the palate, this is tight and rough, with scratchy tannins that really dig in. Blackberry, spicy oak and prune flavors wrap up on a drying, texturally abrasive finish. ",91
Cuerno 2015 Expresion  (Ribera del Duero),2015,Cuerno,Red wine,Red Blends,Ribera del Duero,35.0,Expresion,No Aplica,Ribera del Duero,"Poking, prodding aromas of black plum, cherry and blackberry lead to pumped-up palate with power and hard tannins. Dark, spicy black fruit flavors are aided by peppery oak and a note of clove, while this is firm as a boulder on a spicy finish. Serve with hearty food to tame the tannins, or wait several more years to drink. ",91
Raventós I Blanc 2013 Textures de Pedra Conca del Riu Anoia Sparkling (Penedès),2013,Raventós I Blanc,Sparkling,Sparkling Blend,Penedés,30.0,Textures de Pedra Conca del Riu Anoia,No Aplica,Penedès,"There's a light pink color to this airy sparkler along with fresh aromas of celery and rose water. A clean, tangy palate is well balanced and fresh, offering flavors of pink grapefruit, nectarine and citrus peel. A steady, long finish closes out this high-quality vintage bubbly. ",91
Casado Morales 2011 EME Monovarietal Alavesa  (Rioja),2011,Casado Morales,Red wine,Graciano,Rioja,30.0,EME Monovarietal Alavesa,No Aplica,Rioja,"Black-fruit aromas include oaky notes of baking spices and vanilla. This Graciano is full in body, with bounce and depth. Dark-fruit flavors include chocolate and spice notes, while this is toasty and oaky but also racy and juicy on the finish. Drink through 2026. ",91
CVNE 2015 Imperial Reserva  (Rioja),2015,CVNE,Red wine,Tempranillo,Rioja,45.0,Imperial Reserva,Reserva,Rioja,"Savory oak and spicy foresty berry aromas are a touch gritty. A grabby palate with controlled astringency tastes of salty, lightly stalky plum and raspberry, along with vanilla. Earthy berry and oak flavors dominate a finish with tannic rub. Drink through 2035. ",91
Los Frailes 2014 G-11 Cabernet Sauvignon (Valencia),2014,Los Frailes,Red wine,Cabernet Sauvignon,Valencia,29.0,G-11,No Aplica,Valencia,"Prune and spice-cake aromas suggest a richly roasted wine. A massive palate with saturated weight and density delivers blackberry, chocolaty oak and pepper flavors in front of a finish that's a bit fiery. Drink this power-packed Valencian Cabernet through 2022. ",91
Legón 2014 Reserva  (Ribera del Duero),2014,Legón,Red wine,Tempranillo,Ribera del Duero,34.0,Reserva,Reserva,Ribera del Duero,"Spicy black plum and wild berry aromas are not overly ripe or rich. Following that lead, this feels chippy and tight on the palate, with drying tannins. Flavors of roasted plum, hard spices and toasty oak finish with additional woody notes. Drink through 2027. ",91
Numanthia 2014 Termes  (Toro),2014,Numanthia,Red wine,Tempranillo,Toro,30.0,Termes,No Aplica,Toro,"This wine's black fruit aromas come with road tar, leather and raisin notes. It's intensely tannic, with ripe, savory berry and cassis flavors and integrated oak. Chocolate and baked black fruit notes last on the strong, tannic finish. Drink through 2025. ",91
Elias Mora 2015 Descarte  (Toro),2015,Elias Mora,Red wine,Tinta de Toro,Toro,65.0,Descarte,No Aplica,Toro,"An intense nose is blasting with foresty, cool power and depth. On the palate, this is stacked with fruit and backed by seriously fierce and rough tannins. Savory flavors of soy and spice lead meaty berry fruit to a finish that is rock hard and in step for a bruising red such as this. Drink through 2030. ",91
Raventós I Blanc 2015 De La Finca Conca del Riu Anoia Sparkling (Penedès),2015,Raventós I Blanc,Sparkling,Sparkling Blend,Penedés,34.0,De La Finca Conca del Riu Anoia,No Aplica,Penedès,"Yeasty aromas include fruit-based scents of peach and melon. This has a full and plump mouthfeel with some citrusy acidity to keep things fresh. Mild citrus and papaya flavors are mellow and don't overpower, while this is steady on a dry finish without any additional flavor notes. ",91
Venta del Puerto 2011 No. 18 Vendimia Seleccionada Red (Valencia),2011,Venta del Puerto,Red wine,Red Blends,Valencia,24.0,No. 18 Vendimia Seleccionada,No Aplica,Valencia,"This blend of Syrah, Tempranillo, Cab Sauvignon and Merlot shows the upside potential of Valencia, one of Spain's low-profile regions. A nice mix of vanilla, root beer, spice, plum and chocolate aromas reflect 18 months in oak. With full stout tannins and deep ripe flavors of plum, cassis, tobacco and chocolate, this barrel-influenced middleweight should age nicely through 2022. ",91
Rioja Vega 2014 Edición Limitada  (Rioja),2014,Rioja Vega,Red wine,Tempranillo Blend,Rioja,30.0,Edición Limitada,No Aplica,Rioja,"Ripe red-fruit aromas are slightly candied and include notes of brick dust and baking spices. On the palate, this is lively and in good health. Savory, lightly roasted plum and currant flavors finish steady, with freshness, residual red-fruit flavors and finally some noticeable oak. Drink through 2021. ",91
La Gitana 2015 Cuerno  (Ribera del Duero),2015,La Gitana,Red wine,Red Blends,Ribera del Duero,30.0,Cuerno,No Aplica,Ribera del Duero,"Bulky berry aromas at first smell a bit green and grassy, but then burnt campfire wood takes over the nose. A wide palate feels grabby and strong, while this tastes of charred oak, bacon, plum and brandied cherry. A finish with cinnamon and baking spice flavors is tannic and choppy. Drink through 2026. ",91
Morlanda 2010 Vi de Guarda Red (Priorat),2010,Morlanda,Red wine,Red Blends,Priorat,48.0,Vi de Guarda,No Aplica,Priorat,"Ripe earthy aromas of licorice, vanilla, cola and raisin set up a jammy pulpy palate with plenty of cushion. This is 50% Garnacha and 50% Carignan with flavors of plum, raisin and prune that are fully ripe, while ending notes of licorice and fleshy berry fruits run long and steady. Drink through 2020. ",91
Perelada 2012 Finca La Garriga Carignan (Empordà),2012,Perelada,Red wine,Carignan,Empordà,27.0,Finca La Garriga,No Aplica,Empordà,"All of Perelada's wines are made in a flush bullish ripe style, and this varietal Samsó, which is the name for Carignan in Catalan, is particularly intense, smoky and earthy on the nose. On the palate, it's juicy and ripe, with plum, berry and overt oaky flavors. A chunky finish deals cassis and prune flavors. Drink through 2025. ",91
Sierra Cantabria 2012 Crianza  (Rioja),2012,Sierra Cantabria,Red wine,Tempranillo,Rioja,19.0,Crianza,Crianza,Rioja,"Earthy plum and berry aromas precede a racy, high-acid palate that's fresh and sharp. Snappy red plum and wild berry flavors finish tannic, with oak spice and mild chocolate notes. This is a power-packed wine that will last a long time; drink through 2028. ",91
Muga 2013 Casa Conde de Haro Metodo Tradicional Brut Sparkling (Cava),2013,Muga,Sparkling,Sparkling Blend,Cava,26.0,Casa Conde de Haro Metodo Tradicional Brut,No Aplica,Cava,"Brioche and buttered bread aromas lead the way on the nose. Malic acidity creates textural freshness, while yeasty flavors of green apple finish on an underripe nectarine note. Drink through 2020. ",91
Finca Constancia 2014 Altos de la Finca Red (Vino de la Tierra de Castilla),2014,Finca Constancia,Red wine,Red Blends,Castilla,30.0,Altos de la Finca,No Aplica,Vino de la Tierra de Castilla,"Floral-based aromas of violet and blueberry announce this blend of Cabernet Sauvignon and Petit Verdot that also smells of hickory and campfire. A choppy, drawn-in palate is herbal and savory, with blatant oak accenting earthy berry flavors. A roasted finish with hard tannins calls for more aging or decanting. Drink through 2023. ",91
Comando-G 2014 Las Umbrías Rozas de Puerto Real Garnacha (Vino de la Tierra de Castilla y León),2014,Comando-G,Red wine,Garnacha,Castilla,105.0,Las Umbrías Rozas de Puerto Real,No Aplica,Vino de la Tierra de Castilla y León,"Dry earthy aromas suggest rubber and sea shells along with mild red-fruit scents. This Garnacha from vineyards planted at 3,300 feet feels tight and rubbery. Savory, meaty plum and berry flavors are complex, finishing long and dry on a strong accent of woodspice. Drink now. ",91
Bodegas Tobía 2016 Viñedos de Altura  (Rioja),2016,Bodegas Tobía,Red wine,Tempranillo,Rioja,50.0,Viñedos de Altura,No Aplica,Rioja,This is the definition of a young ripe bomber with big berry aromas and floral notes. Hardness on the palate makes this a tough hill to conquer now—fierce tannins are unforgiving. Toasty blackberry and coffee flavors are gritty on a long finish with lasting blackness. Drink from 2019–2030. ,91
Bodegas Valdemar 2010 Conde Valdemar Gran Reserva  (Rioja),2010,Bodegas Valdemar,Red wine,Tempranillo Blend,Rioja,36.0,Conde Valdemar Gran Reserva,Gran Reserva,Rioja,"Soupy raisiny aromas announce a fully ripe, almost overripe gran reserva with a round, dense mouthfeel. Baked flavors of ultraripe berry fruits are matched by savory notes of black olive. On the finish, there's mostly coffee and toast flavors and not much acidity or tannic grip. Drink through 2022. ",91
Agustí Torelló Mata 2011 Gran Reserva Brut Sparkling (Cava),2011,Agustí Torelló Mata,Sparkling,Sparkling Blend,Cava,45.0,Gran Reserva Brut,Gran Reserva,Cava,"Bready apple and spice aromas are layered, mildly complex and appealing. In the mouth, this is dry, leesy and tastes of toasted apple and nectarine. The finish hits the spot with proper weight, balance and lively acidity. Excellence in Cava may be fleeting, but this makes the grade. ",91
Marqués de la Concordia 2012 Federico Paternina  (Rioja),2012,Marqués de la Concordia,Red wine,Tempranillo Blend,Rioja,30.0,Federico Paternina,No Aplica,Rioja,"Edgy berry aromas include notes of pencil lead and woody oak. The crisp bouncy acidic palate emphasizes freshness over weight. Plum, currant and oak-based flavors are spicy and snappy, while this maintains a spicy character on a dry finish. Drink through 2024. ",91
Vivanco 2010 Reserva  (Rioja),2010,Vivanco,Red wine,Tempranillo,Rioja,25.0,Reserva,Reserva,Rioja,"Spicy saucy red-berry aromas announce a flush palate that's more balanced than outright bullish. Flavors of wild berry, nutmeg, vanilla and chocolate finish lively, with good weight. Drink this delicious Reserva through 2019. ",91
Eguren Ugarte 2014 Martin Cendoya Reserva  (Rioja),2014,Eguren Ugarte,Red wine,Tempranillo Blend,Rioja,48.0,Martin Cendoya Reserva,Reserva,Rioja,"Vanilla, spice, cherry, plum and lemony oak aromas are lusty and full. In the mouth, this off-vintage wine is raw and clamps down with biting tannins. Baked plum, chocolate and charred flavors finish with an oak character on top of a dried plum and cherry base. ",91
